,MASS,TIME
0,16,12.8127
1,17,11.8231
2,18,10.9999
3,19,10.3084
4,20,9.6751
5,21,8.9315
6,22,8.5363
7,23,8.1797
8,24,7.8539
9,25,7.5573
10,26,7.2864
11,27,7.0635
12,28,6.8562
13,29,6.6628
14,30,6.4816
15,31,6.312
16,32,6.1521
17,33,6.0055
18,34,5.8725
19,35,5.7464
20,36,5.633
21,37,5.5271
22,38,5.4263
23,39,5.3301
24,40,5.2381
25,41,5.1502
26,42,5.0671
27,43,4.9878
28,44,4.9115
29,45,4.8397
30,46,4.7731
31,47,4.709
32,48,4.647
33,49,4.5874
34,50,4.5296
35,51,4.474
36,52,4.4201
37,53,4.3678
38,54,4.3174
39,55,4.2684
40,56,4.2208
41,57,4.1748
42,58,4.1324
43,59,4.0913
44,60,4.0513
45,61,4.0125
46,62,3.9747
47,63,3.9379
48,64,3.902
49,65,3.8669
50,66,3.8327
51,67,3.7994
52,68,3.767
53,69,3.7361
54,70,3.7048
55,71,3.6949
56,72,3.6904
57,73,3.6904
58,74,3.6904
59,75,3.6903
60,76,3.6903
61,77,3.6903
62,78,3.6903
63,79,3.6903
64,80,3.6903
65,81,3.6903
66,82,3.6903
67,83,3.6903
68,84,3.6903
69,85,3.6903
70,86,3.6903
71,87,3.6903
72,88,3.6903
73,89,3.6903
74,90,3.6903
75,91,3.6903
76,92,3.6903
77,93,3.6903
78,94,3.6903
79,95,3.6903
80,96,3.6903
81,97,3.6903
82,98,3.6903
83,99,3.6902
84,100,3.6897
